'08520005,Thái Thu Thủy,CNPM02,2,10/12/1990,Vũng Tàu,'271899100,
'08520221,Phan Thiên Quốc,CNPM03,4,*,*,'491881111,
'08520234,Phan Thiên Quốc,CNPM04,4,*,*,'*,
'08520235,Phan Thiên Quốc,CNPM04,4,*,Vinh,'009113313,
'08520462,Trương Hoàng An,CNPM04,4,*,*,'900881134,
'09520008,Quách Minh,CNPM01,1,,Đồng Nai,',
'09520035,Mai Tiến Hoài,CNPM02,4,18/02/1989,Khánh Hòa,'288179919,
'09520114,Hà Phong,CNPM03,3,17/03/2008,,',haphong@gmail.com
'09520234,Phan Thiên Quốc,CNPM04,4,*,*,'*,
'09520235,Phan Thiên Quốc,CNPM04,4,*,*,'*,
'10520221,Phan Thiên Quốc,CNPM04,4,*,*,'987777113,
'10520234,Phan Quốc Vinh,CNPM04,4,*,*,'991922415,
'10520235,Phan Thiên Quốc,CNPM04,4,*,*,'*,
'11520221,Phan Thiên Quốc,CNPM04,4,*,*,'*,
'11520235,Phan Mạnh Tiến,CNPM04,4,*,*,'271999411,
